pair_id,paper_id,dataset_norm,horizon_bucket,metric_name,model_name,model_scale,has_covariates,zero_shot,metric_num,baseline_metric,baseline_family,delta,delta_rel,vi,source,n_series_num,baseline_n_series
B02_fev_favorita_stores_1M__Toto-1.0__WAPE,B02_fev_favorita_stores_1M,Favorita,medium,WAPE,Toto-1.0,8,TRUE,TRUE,0.1978,0.2205,ML_TREE,-0.022699999999999998,-0.10294784580498866,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1W__Chronos-2__SQL,B02_fev_favorita_stores_1W,Favorita,medium,SQL,Chronos-2,8.079181246047625,TRUE,TRUE,2.0241,2.4207,ML_TREE,-0.3966000000000003,-0.1638369066798861,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Chronos-2__MASE,B02_fev_favorita_stores_1W,Favorita,medium,MASE,Chronos-2,8.079181246047625,TRUE,TRUE,2.2987,2.4207,ML_TREE,-0.12199999999999989,-0.05039864502003548,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Chronos-2__WAPE,B02_fev_favorita_stores_1W,Favorita,medium,WAPE,Chronos-2,8.079181246047625,TRUE,TRUE,0.1289,0.1307,ML_TREE,-0.0018000000000000238,-0.013771996939556417,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Chronos-Bolt-Base__SQL,B02_fev_favorita_stores_1W,Favorita,medium,SQL,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,2.1011,2.4207,ML_TREE,-0.3195999999999999,-0.13202792580658482,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Chronos-Bolt-Base__MASE,B02_fev_favorita_stores_1W,Favorita,medium,MASE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,2.4749,2.4207,ML_TREE,0.054199999999999804,0.02239021770562226,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Chronos-Bolt-Base__WAPE,B02_fev_favorita_stores_1W,Favorita,medium,WAPE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,0.158,0.1307,ML_TREE,0.02729999999999999,0.20887528691660281,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Moirai-2.0-Small__SQL,B02_fev_favorita_stores_1W,Favorita,medium,SQL,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,2.197,2.4207,ML_TREE,-0.2237,-0.09241128599165531,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Moirai-2.0-Small__MASE,B02_fev_favorita_stores_1W,Favorita,medium,MASE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,2.577,2.4207,ML_TREE,0.15629999999999988,0.06456810013632415,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Moirai-2.0-Small__WAPE,B02_fev_favorita_stores_1W,Favorita,medium,WAPE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,0.1555,0.1307,ML_TREE,0.02479999999999999,0.18974751338944137,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TabPFN-TS__SQL,B02_fev_favorita_stores_1W,Favorita,medium,SQL,TabPFN-TS,7.079181246047625,TRUE,TRUE,2.1227,2.4207,ML_TREE,-0.29800000000000004,-0.12310488701615237,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TabPFN-TS__MASE,B02_fev_favorita_stores_1W,Favorita,medium,MASE,TabPFN-TS,7.079181246047625,TRUE,TRUE,2.5268,2.4207,ML_TREE,0.10610000000000008,0.04383029702152273,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TabPFN-TS__WAPE,B02_fev_favorita_stores_1W,Favorita,medium,WAPE,TabPFN-TS,7.079181246047625,TRUE,TRUE,0.126,0.1307,ML_TREE,-0.00470000000000001,-0.035960214231063575,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TiRex__SQL,B02_fev_favorita_stores_1W,Favorita,medium,SQL,TiRex,7.544068044350276,TRUE,TRUE,2.0462,2.4207,ML_TREE,-0.3745000000000003,-0.15470731606560098,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TiRex__MASE,B02_fev_favorita_stores_1W,Favorita,medium,MASE,TiRex,7.544068044350276,TRUE,TRUE,2.4235,2.4207,ML_TREE,0.0028000000000001357,0.0011566902135746418,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TiRex__WAPE,B02_fev_favorita_stores_1W,Favorita,medium,WAPE,TiRex,7.544068044350276,TRUE,TRUE,0.1346,0.1307,ML_TREE,0.003899999999999987,0.02983932670237174,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TimesFM-2.5__SQL,B02_fev_favorita_stores_1W,Favorita,medium,SQL,TimesFM-2.5,8.301029995663981,TRUE,TRUE,1.9684,2.4207,ML_TREE,-0.45230000000000015,-0.1868467798570662,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TimesFM-2.5__MASE,B02_fev_favorita_stores_1W,Favorita,medium,MASE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,2.2901,2.4207,ML_TREE,-0.13060000000000027,-0.05395133639030043,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TimesFM-2.5__WAPE,B02_fev_favorita_stores_1W,Favorita,medium,WAPE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,0.1308,0.1307,ML_TREE,9.999999999998899e-5,7.651109410863732e-4,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Toto-1.0__SQL,B02_fev_favorita_stores_1W,Favorita,medium,SQL,Toto-1.0,8,TRUE,TRUE,2.1277,2.4207,ML_TREE,-0.29300000000000015,-0.12103936877762636,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Toto-1.0__MASE,B02_fev_favorita_stores_1W,Favorita,medium,MASE,Toto-1.0,8,TRUE,TRUE,2.508,2.4207,ML_TREE,0.08729999999999993,0.03606394844466474,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Toto-1.0__WAPE,B02_fev_favorita_stores_1W,Favorita,medium,WAPE,Toto-1.0,8,TRUE,TRUE,0.1511,0.1307,ML_TREE,0.0204,0.15608263198163733,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_transactions_1D__Chronos-2__SQL,B02_fev_favorita_transactions_1D,Favorita,long,SQL,Chronos-2,8.079181246047625,TRUE,TRUE,0.6846,1.323,ML_TREE,-0.6384,-0.48253968253968255,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Chronos-2__MASE,B02_fev_favorita_transactions_1D,Favorita,long,MASE,Chronos-2,8.079181246047625,TRUE,TRUE,0.8494,1.323,ML_TREE,-0.4735999999999999,-0.35797430083144366,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Chronos-2__WAPE,B02_fev_favorita_transactions_1D,Favorita,long,WAPE,Chronos-2,8.079181246047625,TRUE,TRUE,0.0612,0.0814,ML_TREE,-0.020200000000000003,-0.24815724815724818,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Chronos-Bolt-Base__SQL,B02_fev_favorita_transactions_1D,Favorita,long,SQL,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,0.975,1.323,ML_TREE,-0.348,-0.26303854875283444,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Chronos-Bolt-Base__MASE,B02_fev_favorita_transactions_1D,Favorita,long,MASE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,1.1515,1.323,ML_TREE,-0.17149999999999999,-0.12962962962962962,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Chronos-Bolt-Base__WAPE,B02_fev_favorita_transactions_1D,Favorita,long,WAPE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,0.0873,0.0814,ML_TREE,0.0059000000000000025,0.07248157248157251,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Moirai-2.0-Small__SQL,B02_fev_favorita_transactions_1D,Favorita,long,SQL,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,1.121,1.323,ML_TREE,-0.20199999999999996,-0.15268329554043836,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Moirai-2.0-Small__MASE,B02_fev_favorita_transactions_1D,Favorita,long,MASE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,1.33,1.323,ML_TREE,0.007000000000000117,0.00529100529100538,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Moirai-2.0-Small__WAPE,B02_fev_favorita_transactions_1D,Favorita,long,WAPE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,0.0837,0.0814,ML_TREE,0.0022999999999999965,0.02825552825552821,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__TabPFN-TS__SQL,B02_fev_favorita_transactions_1D,Favorita,long,SQL,TabPFN-TS,7.079181246047625,TRUE,TRUE,1.2252,1.323,ML_TREE,-0.09779999999999989,-0.07392290249433098,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__TabPFN-TS__MASE,B02_fev_favorita_transactions_1D,Favorita,long,MASE,TabPFN-TS,7.079181246047625,TRUE,TRUE,1.6727,1.323,ML_TREE,0.3497000000000001,0.2643235071806501,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__TabPFN-TS__WAPE,B02_fev_favorita_transactions_1D,Favorita,long,WAPE,TabPFN-TS,7.079181246047625,TRUE,TRUE,0.0773,0.0814,ML_TREE,-0.004100000000000006,-0.050368550368550445,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__TiRex__SQL,B02_fev_favorita_transactions_1D,Favorita,long,SQL,TiRex,7.544068044350276,TRUE,TRUE,1.0314,1.323,ML_TREE,-0.29159999999999986,-0.22040816326530602,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__TiRex__MASE,B02_fev_favorita_transactions_1D,Favorita,long,MASE,TiRex,7.544068044350276,TRUE,TRUE,1.3493,1.323,ML_TREE,0.02629999999999999,0.019879062736205586,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__TiRex__WAPE,B02_fev_favorita_transactions_1D,Favorita,long,WAPE,TiRex,7.544068044350276,TRUE,TRUE,0.082,0.0814,ML_TREE,6.000000000000033e-4,0.007371007371007412,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__TimesFM-2.5__SQL,B02_fev_favorita_transactions_1D,Favorita,long,SQL,TimesFM-2.5,8.301029995663981,TRUE,TRUE,0.8736,1.323,ML_TREE,-0.4493999999999999,-0.33968253968253964,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__TimesFM-2.5__MASE,B02_fev_favorita_transactions_1D,Favorita,long,MASE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,1.0842,1.323,ML_TREE,-0.2387999999999999,-0.18049886621315187,0.0392156862745098,LIT,51,51
