pair_id,paper_id,study_id,suite_id,task_id,cluster_id,dataset_norm,horizon_bucket,metric_name,model_name,model_scale,has_covariates,zero_shot,metric_num,baseline_metric,baseline_family,log_ratio,delta,delta_rel,vi,source,is_source_b,paired_inference_ok,quality_flag,n_series_num,baseline_n_series
b02_fev_favorita_stores_1m__TiRex__SQL,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,SQL,TiRex,7.544068044350276,TRUE,TRUE,1.8559,2.41115,ML_TREE,-0.2617340585102593,-0.55525,-0.23028430417020923,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__TiRex__MASE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,MASE,TiRex,7.544068044350276,TRUE,TRUE,2.2147,2.41115,ML_TREE,-0.08498685796871855,-0.19645,-0.08147564440204881,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__TiRex__WAPE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,WAPE,TiRex,7.544068044350276,TRUE,TRUE,0.1894,0.24180000000000001,ML_TREE,-0.2442497574287145,-0.0524,-0.21670802315963605,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__TimesFM-2.5__SQL,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,SQL,TimesFM-2.5,8.301029995663981,TRUE,TRUE,1.9983,2.41115,ML_TREE,-0.1878069930072748,-0.41285000000000016,-0.1712253488999026,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__TimesFM-2.5__MASE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,MASE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,2.2338,2.41115,ML_TREE,-0.07639964098779194,-0.17735000000000012,-0.07355411318250632,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__TimesFM-2.5__WAPE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,WAPE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,0.2103,0.24180000000000001,ML_TREE,-0.13957585547203827,-0.03150000000000003,-0.13027295285359813,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Toto-1.0__SQL,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,SQL,Toto-1.0,8,TRUE,TRUE,2.0094,2.41115,ML_TREE,-0.18226764206630441,-0.4017500000000003,-0.16662173651577059,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Toto-1.0__MASE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,MASE,Toto-1.0,8,TRUE,TRUE,2.2865,2.41115,ML_TREE,-0.053081547996408275,-0.12464999999999993,-0.05169732285423965,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Toto-1.0__WAPE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,WAPE,Toto-1.0,8,TRUE,TRUE,0.1978,0.24180000000000001,ML_TREE,-0.20085451899208062,-0.04400000000000001,-0.18196856906534328,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1w__Chronos-2__SQL,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,SQL,Chronos-2,8.079181246047625,TRUE,TRUE,2.0241,2.45255,ML_TREE,-0.1920031422900464,-0.4284500000000002,-0.17469572485780116,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
