contrast_i,contrast_j,covariance,correlation
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h28_moirai2_vs_lightgbm_direct,-8.713549616141976e-05,-0.1412137160589262
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h28_timesfm25_vs_lightgbm_direct,0.00012786283755756973,0.21993543655357614
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h28_tirex_vs_lightgbm_direct,-6.45380920576747e-05,-0.09512980524174712
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h7_chronos2_vs_lightgbm_cov,-1.1602590496505332e-05,-0.044074062975741256
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h7_chronos_bolt_tiny_vs_lightgbm_cov,0.000632483224857,0.9855066872684847
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h7_moirai2_vs_lightgbm_cov,8.648906267177808e-06,0.04031160026275052
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h7_timesfm25_vs_lightgbm_cov,0.00032452379383152017,0.7815076407542003
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h7_tirex_vs_lightgbm_cov,3.063085723719807e-05,0.10577592989396117
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,M5_h14_chronos2_vs_lightgbm_cov,-8.496846290530986e-08,-0.000404786607656179
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,M5_h14_chronos_bolt_tiny_vs_lightgbm_cov,-2.975982236988912e-06,-0.01111148880007121
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,M5_h14_moirai2_vs_lightgbm_cov,9.96671463901313e-07,0.003973687456375297
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,M5_h14_timesfm25_vs_lightgbm_cov,3.7271789119002574e-07,0.0015617040967614423
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,M5_h14_tirex_vs_lightgbm_cov,-1.796070071363127e-06,-0.008198149578444877
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,M5_h28_chronos2_vs_lightgbm_direct,-1.5889413296864427e-05,-0.04666883121048753
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,M5_h28_chronos_bolt_tiny_vs_lightgbm_direct,-1.816482231076089e-05,-0.046516026773266515
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,M5_h28_moirai2_vs_lightgbm_direct,-1.5544573977324222e-05,-0.05238857579630055
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,M5_h28_timesfm25_vs_lightgbm_direct,-1.3839925436656851e-05,-0.04114063779075338
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,M5_h28_tirex_vs_lightgbm_direct,-1.7663833068879725e-05,-0.042367914862676
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,M5_h7_chronos2_vs_lightgbm_cov,-1.3641170482233132e-06,-0.006994381759820284
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,M5_h7_chronos_bolt_tiny_vs_lightgbm_cov,-5.727023354517522e-06,-0.025603909726077068
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,M5_h7_moirai2_vs_lightgbm_cov,-3.546486476173246e-06,-0.016848915927229445
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,M5_h7_timesfm25_vs_lightgbm_cov,-2.627073877028921e-06,-0.012885567331000049
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,M5_h7_tirex_vs_lightgbm_cov,-4.557954824685164e-06,-0.022395721077607237
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h14_chronos2_vs_lightgbm_cov,1.3205023353627881e-05,0.051877608826891575
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h14_chronos_bolt_tiny_vs_lightgbm_cov,1.792165116457225e-05,0.07635532394322593
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h14_moirai2_vs_lightgbm_cov,1.050670275779209e-05,0.034533981046205586
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h14_timesfm25_vs_lightgbm_cov,1.1031946268167042e-05,0.034353219961965505
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h14_tirex_vs_lightgbm_cov,2.2582112653881627e-05,0.06457931995686249
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h28_chronos2_vs_lightgbm_cov,6.9966538773991394e-06,0.021836948173002642
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h28_chronos_bolt_tiny_vs_lightgbm_cov,1.2499735171935234e-05,0.03938037722844586
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h28_moirai2_vs_lightgbm_cov,7.064389679046175e-06,0.01932364647438825
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h28_timesfm25_vs_lightgbm_cov,9.524275780036107e-06,0.025222765414322692
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h28_tirex_vs_lightgbm_cov,1.7899913725243165e-05,0.04505725118483388
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h7_chronos2_vs_lightgbm_cov,1.4180753146689696e-05,0.053625745928574574
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h7_chronos_bolt_tiny_vs_lightgbm_cov,1.999121471090179e-05,0.07772056842040058
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h7_moirai2_vs_lightgbm_cov,1.5077501176855445e-05,0.04567888502548996
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h7_timesfm25_vs_lightgbm_cov,1.686962859423647e-05,0.05440350698062771
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h7_tirex_vs_lightgbm_cov,2.182189684499514e-05,0.06924015818359779
Favorita_h14_moirai2_vs_lightgbm_cov,Favorita_h14_chronos2_vs_lightgbm_cov,5.5995255381903174e-05,0.5288113797840318
Favorita_h14_moirai2_vs_lightgbm_cov,Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,8.371212088253386e-05,0.35632711209381823
Favorita_h14_moirai2_vs_lightgbm_cov,Favorita_h14_moirai2_vs_lightgbm_cov,8.869819504364088e-05,1.0000000000000002
Favorita_h14_moirai2_vs_lightgbm_cov,Favorita_h14_timesfm25_vs_lightgbm_cov,0.00010903103414530072,0.6208233644165781
Favorita_h14_moirai2_vs_lightgbm_cov,Favorita_h14_tirex_vs_lightgbm_cov,6.410566527227391e-05,0.6438490234057892
Favorita_h14_moirai2_vs_lightgbm_cov,Favorita_h28_chronos2_vs_lightgbm_direct,1.4709418529092006e-05,0.051692647570886256
Favorita_h14_moirai2_vs_lightgbm_cov,Favorita_h28_chronos_bolt_tiny_vs_lightgbm_direct,3.35009019781831e-05,0.11729589431782916
Favorita_h14_moirai2_vs_lightgbm_cov,Favorita_h28_moirai2_vs_lightgbm_direct,5.14387095775567e-05,0.2207987106817041
Favorita_h14_moirai2_vs_lightgbm_cov,Favorita_h28_timesfm25_vs_lightgbm_direct,6.160013888562959e-05,0.28064496664594313
