contrast_id,favorita_stores_1D__timesfm25__vs__seasonal_naive__WAPE,favorita_stores_1M__timesfm25__vs__seasonal_naive__WAPE,favorita_stores_1W__timesfm25__vs__seasonal_naive__WAPE,favorita_transactions_1D__timesfm25__vs__seasonal_naive__WAPE,favorita_transactions_1M__timesfm25__vs__seasonal_naive__WAPE,favorita_transactions_1W__timesfm25__vs__seasonal_naive__WAPE,hermes__timesfm25__vs__seasonal_naive__WAPE,hierarchical_sales_1D__timesfm25__vs__seasonal_naive__WAPE,hierarchical_sales_1W__timesfm25__vs__seasonal_naive__WAPE,m5_1D__timesfm25__vs__seasonal_naive__WAPE,m5_1M__timesfm25__vs__seasonal_naive__WAPE,m5_1W__timesfm25__vs__seasonal_naive__WAPE,restaurant__timesfm25__vs__seasonal_naive__WAPE,rohlik_orders_1D__timesfm25__vs__seasonal_naive__WAPE,rohlik_orders_1W__timesfm25__vs__seasonal_naive__WAPE,rohlik_sales_1D__timesfm25__vs__seasonal_naive__WAPE,rohlik_sales_1W__timesfm25__vs__seasonal_naive__WAPE,rossmann_1D__timesfm25__vs__seasonal_naive__WAPE,rossmann_1W__timesfm25__vs__seasonal_naive__WAPE,walmart__timesfm25__vs__seasonal_naive__WAPE
m5_1M__timesfm25__vs__seasonal_naive__WAPE,-5.509887800208612e-07,-2.398553910203816e-07,-3.910025859569693e-06,-2.50972688409765e-06,1.5497228943937742e-06,-1.0251825027676414e-06,3.107836204281173e-08,-3.7747036358875256e-06,1.4973029752354658e-06,9.352656060045673e-08,1.4298439895215209e-05,1.2406876835608826e-07,-2.6311218699008603e-07,5.738764683701994e-06,-3.710820284174751e-06,2.9169804560406424e-06,-6.591231784191194e-06,-2.0814831984686797e-07,1.2203083076061397e-08,-8.793804473748432e-06
m5_1W__timesfm25__vs__seasonal_naive__WAPE,-1.0431746320862808e-06,-6.141679883054766e-07,-1.1804243988880319e-05,-2.9856039286625616e-06,9.739226842028163e-06,8.876434543855214e-07,-1.3152443326871532e-07,-1.835878178925837e-06,-7.900959413208317e-06,1.5730173304730774e-07,1.2406876835608826e-07,1.668688804908253e-05,-5.607527650258747e-07,-9.150929073780393e-07,-1.2571636162092779e-05,1.1026973446810839e-08,4.928689902026664e-06,5.518393488013096e-08,-2.868654461352539e-07,7.2391499888694805e-06
restaurant__timesfm25__vs__seasonal_naive__WAPE,9.743161054582954e-07,-2.2005000327030306e-06,3.914471506772216e-06,9.931889683146663e-07,-1.0619551105642064e-05,-4.552083334009796e-06,1.9691445391485042e-07,7.568382549391704e-06,-1.487675017140113e-06,4.783547506457729e-07,-2.6311218699008603e-07,-5.607527650258747e-07,1.6023070874751142e-05,2.7943341328543194e-06,6.503481657133676e-06,1.4945054740818041e-06,5.368737113936801e-06,3.181240243183662e-07,2.3561376769973949e-07,-3.5546440390331707e-06
rohlik_orders_1D__timesfm25__vs__seasonal_naive__WAPE,2.0553174219642003e-05,-6.740203404856528e-07,8.370538011750933e-05,1.2110091909953966e-05,0.00015774403052103793,8.474772035598254e-05,-1.3630673098120878e-06,-0.00012011079190267146,-0.00016825358208785864,1.6670867789856404e-05,5.738764683701994e-06,-9.150929073780393e-07,2.7943341328543194e-06,0.010300036237459833,0.00021898415449129582,1.678439661418039e-05,-1.9987873967898753e-05,-7.545517321202296e-06,-4.659604820006989e-07,-0.00017964174513674996
rohlik_orders_1W__timesfm25__vs__seasonal_naive__WAPE,-5.765554160689395e-06,3.2520219432828435e-05,1.8941853027482303e-05,5.451988718415396e-06,-6.040437747396356e-05,-2.6699166100638567e-05,-1.2373680152563993e-06,-2.2170626174970324e-05,-1.4190581470949608e-05,-3.268488271570557e-06,-3.710820284174751e-06,-1.2571636162092779e-05,6.503481657133676e-06,0.00021898415449129582,0.004756372634188694,-4.182261304816047e-05,-9.931201041426845e-05,-1.4242018457258573e-07,2.657244680584119e-06,-7.094095830401018e-05
rohlik_sales_1D__timesfm25__vs__seasonal_naive__WAPE,3.458084418884477e-06,1.2857611392787352e-05,-4.089126278745733e-05,6.672178472362687e-07,3.276931126571668e-05,-1.2800703880869466e-05,-4.550949195358538e-07,1.5065016445470573e-05,6.911035729696185e-06,-2.6460033138393607e-06,2.9169804560406424e-06,1.1026973446810839e-08,1.4945054740818041e-06,1.678439661418039e-05,-4.182261304816047e-05,0.0003451366929841332,4.8305987292158434e-05,-5.746901525327138e-07,2.1020523634668357e-06,-1.8195437710270892e-05
rohlik_sales_1W__timesfm25__vs__seasonal_naive__WAPE,-2.1886778360141323e-06,-6.516456070454715e-06,1.7902377119243666e-06,-3.0410478550933874e-05,-8.70916107023517e-05,-4.825973801333394e-06,1.6005553905046122e-06,3.945282986019925e-05,-1.5623194628115127e-05,-3.2436290514986913e-06,-6.591231784191194e-06,4.928689902026664e-06,5.368737113936801e-06,-1.9987873967898753e-05,-9.931201041426845e-05,4.8305987292158434e-05,0.0036456174011987646,-4.5916453776561955e-06,-1.6930976714175102e-06,-2.0817194070517493e-05
rossmann_1D__timesfm25__vs__seasonal_naive__WAPE,-1.380958746575114e-06,1.1099750286597417e-06,-2.306180544974698e-06,1.7653085227447148e-06,-4.84631471975307e-06,-1.2544854453696052e-06,-1.0227283838256113e-07,1.1378188318423846e-06,-2.9180523488883876e-06,-3.2850288359983156e-07,-2.0814831984686797e-07,5.518393488013096e-08,3.181240243183662e-07,-7.545517321202296e-06,-1.4242018457258573e-07,-5.746901525327138e-07,-4.5916453776561955e-06,8.108740614937241e-06,-1.6342955728180546e-07,-1.0149066650989368e-06
rossmann_1W__timesfm25__vs__seasonal_naive__WAPE,-1.2724544763614117e-06,-1.297121119572667e-06,7.304675075585702e-06,-5.699935512324156e-08,5.072395416543497e-06,-1.2613977476312779e-06,2.2355637309351654e-07,2.3848879737658827e-06,-2.9225108886283825e-06,1.5070341040073314e-07,1.2203083076061397e-08,-2.868654461352539e-07,2.3561376769973949e-07,-4.659604820006989e-07,2.657244680584119e-06,2.1020523634668357e-06,-1.6930976714175102e-06,-1.6342955728180546e-07,7.736629982780776e-06,-6.012854730279396e-06
walmart__timesfm25__vs__seasonal_naive__WAPE,1.4717465754932829e-05,-2.3115555674545763e-05,9.103717647509759e-05,-8.940069382222902e-05,-3.461564690874221e-05,-5.519797721041985e-05,3.4503470376434487e-06,-4.139658954080375e-05,-0.00010971825551545605,-1.5229709230351258e-06,-8.793804473748432e-06,7.2391499888694805e-06,-3.5546440390331707e-06,-0.00017964174513674996,-7.094095830401018e-05,-1.8195437710270892e-05,-2.0817194070517493e-05,-1.0149066650989368e-06,-6.012854730279396e-06,0.002401521663525331
