dataset,horizon,model_name,unmatched_saved_sweep_wape,unmatched_saved_sweep_n_series,legacy_100_series_n_valid,legacy_100_series_bootstrap_wape,legacy_100_series_bootstrap_se,wape_delta_saved_minus_legacy,workload_note
Rohlik v2,14,chronos2,0.3391,4614.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik v2,14,chronos_bolt_tiny,0.3453,4614.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik v2,14,moirai2,0.3373,4614.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik v2,14,timesfm25,0.3375,4614.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik v2,14,tirex,0.3373,4614.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik v2,28,chronos2,0.3567,4549.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik v2,28,chronos_bolt_tiny,0.3606,4549.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik v2,28,moirai2,0.3536,4549.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik v2,28,timesfm25,0.3534,4549.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik v2,28,tirex,0.3534,4549.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
