contrast_id,task_name,model_name,baseline_name,metric,n_pairs,n_valid_pairs,model_wape_mean,baseline_wape_mean,log_ratio,bootstrap_mean,bootstrap_se,ci_low,ci_high,ratio,ratio_ci_low,ratio_ci_high
m5_1M__tirex__vs__seasonal_naive__WAPE,m5_1M,tirex,seasonal_naive,mean_series_window_WAPE,30064,30053,0.5705352784769654,0.7092814404772918,-0.21767739668404223,-0.21756892988924662,0.005400889178569647,-0.22792215208990496,-0.2063329352000417,0.8043848970488204,0.7961862388576952,0.8135621677048711
m5_1W__tirex__vs__seasonal_naive__WAPE,m5_1W,tirex,seasonal_naive,mean_series_window_WAPE,30490,30447,0.6577893384337192,0.8385329806676056,-0.24276918771774122,-0.242816859508028,0.005218161773222804,-0.25363503225696044,-0.23297226923430905,0.7844525541619297,0.7759749562006865,0.7921755408540366
restaurant__tirex__vs__seasonal_naive__WAPE,restaurant,tirex,seasonal_naive,mean_series_window_WAPE,6502,6502,0.3918211751446746,0.5330374553933014,-0.30778614462914006,-0.30790434338467804,0.0037718849156431,-0.31550491825218835,-0.3003544300128471,0.7350725004035028,0.729420483557618,0.7405556989957747
rohlik_orders_1D__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1D,tirex,seasonal_naive,mean_series_window_WAPE,35,35,0.0686209832384861,0.06572060029826293,0.04318593876606862,0.03538361799635252,0.1027446973736204,-0.16187103705054243,0.24323753309140358,1.0441320214219016,0.8505508870186467,1.275371531084288
rohlik_orders_1W__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1W,tirex,seasonal_naive,mean_series_window_WAPE,35,35,0.053921973311838456,0.08539911653709303,-0.4597976927780621,-0.4715226278509299,0.07299894370434953,-0.6069490331638655,-0.3441954621627654,0.63141137166703,0.5450111459934638,0.7087903728095818
rohlik_sales_1D__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1D,tirex,seasonal_naive,mean_series_window_WAPE,5356,5356,0.37948874893944523,0.52788257201216,-0.33004890814644466,-0.32962102444121266,0.023055888236520595,-0.3788135581411129,-0.29047266758729057,0.7188885730645102,0.6846732525211329,0.7479099712167733
rohlik_sales_1W__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1W,tirex,seasonal_naive,mean_series_window_WAPE,5060,4993,0.40804571464616735,0.5729819842217393,-0.3394750612427577,-0.3351035376711844,0.08350014951123194,-0.504297889660602,-0.21818933178781333,0.7121440566764086,0.6039294517179826,0.803973209570705
rossmann_1D__tirex__vs__seasonal_naive__WAPE,rossmann_1D,tirex,seasonal_naive,mean_series_window_WAPE,11150,10608,0.24418685471336102,0.28162248918947885,-0.1426337530485193,-0.1426511396739357,0.0025077055781507155,-0.14748156990744019,-0.13774436656165437,0.8670715730698243,0.8628783411025245,0.8713214021644099
rossmann_1W__tirex__vs__seasonal_naive__WAPE,rossmann_1W,tirex,seasonal_naive,mean_series_window_WAPE,8920,8740,0.1878994130999466,0.23846969490453301,-0.23833545392078015,-0.23842474231274466,0.003145625558841269,-0.2444359940723482,-0.2322475644483155,0.7879383297536766,0.7831461127546524,0.7927498423342212
walmart__tirex__vs__seasonal_naive__WAPE,walmart,tirex,seasonal_naive,mean_series_window_WAPE,2936,2936,0.20413431527410306,0.25833779753403474,-0.23548983591782094,-0.2344361810225226,0.047060766797807414,-0.3366131697527524,-0.15857414920163027,0.79018369446,0.714185054856477,0.8533596855055621
