dataset,horizon,model_name,baseline_model,n_series_paired,model_WAPE_aggregate,baseline_WAPE_aggregate,log_ratio,bootstrap_se,ci95_low,ci95_high,n_boot,contrast_id
Favorita,28,chronos2,lightgbm_tuned_direct,100,0.2702955679110351,0.2862026718739839,-0.0571841465445844,0.023749947941195615,-0.10774110799385808,-0.014831927292093289,1000,Favorita_h28_chronos2_vs_lightgbm_tuned_direct
Favorita,28,chronos_bolt_tiny,lightgbm_tuned_direct,100,0.33655131074460803,0.2862026718739839,0.16205041833253833,0.02497589785334833,0.11600965573239395,0.21427862218946872,1000,Favorita_h28_chronos_bolt_tiny_vs_lightgbm_tuned_direct
Favorita,28,moirai2,lightgbm_tuned_direct,100,0.286948731415556,0.2862026718739839,0.0026033608524991063,0.019880762896552672,-0.038756737518561686,0.03979504922405723,1000,Favorita_h28_moirai2_vs_lightgbm_tuned_direct
Favorita,28,timesfm25,lightgbm_tuned_direct,100,0.2934366848598651,0.2862026718739839,0.024961688731323713,0.019511855719312642,-0.011993726559424553,0.0662160205935077,1000,Favorita_h28_timesfm25_vs_lightgbm_tuned_direct
Favorita,28,tirex,lightgbm_tuned_direct,100,0.2790633236491111,0.2862026718739839,-0.02526148021440805,0.02133710688883862,-0.0700530679801762,0.01424247336642623,1000,Favorita_h28_tirex_vs_lightgbm_tuned_direct
M5,7,chronos2,lightgbm_tuned_cov,100,0.29365694569342815,0.3124376941362412,-0.061992835879166874,0.007266717397462272,-0.07630430199668518,-0.048480491962044917,1000,M5_h7_chronos2_vs_lightgbm_tuned_cov
M5,7,chronos_bolt_tiny,lightgbm_tuned_cov,100,0.3143069542902448,0.3124376941362412,0.0059649993063020336,0.008878604412606586,-0.010939293521233117,0.023531864632496367,1000,M5_h7_chronos_bolt_tiny_vs_lightgbm_tuned_cov
M5,7,moirai2,lightgbm_tuned_cov,100,0.2979939021907553,0.3124376941362412,-0.047332046684924044,0.008235825059741669,-0.06325477070624078,-0.03204385407170477,1000,M5_h7_moirai2_vs_lightgbm_tuned_cov
M5,7,timesfm25,lightgbm_tuned_cov,100,0.2988472750132987,0.3124376941362412,-0.044472413547414394,0.008294953454257771,-0.0600841799189996,-0.028693190226095146,1000,M5_h7_timesfm25_vs_lightgbm_tuned_cov
M5,7,tirex,lightgbm_tuned_cov,100,0.2981849257964853,0.3124376941362412,-0.04669122012987161,0.007566293989358215,-0.061502066528996174,-0.03245545988972896,1000,M5_h7_tirex_vs_lightgbm_tuned_cov
M5,14,chronos2,lightgbm_rich_tuned,100,0.30704296660218844,0.32032181987715636,-0.04233848339225575,0.007344492532459861,-0.05711512633768048,-0.028956446943588003,1000,M5_h14_chronos2_vs_lightgbm_rich_tuned
M5,14,chronos_bolt_tiny,lightgbm_rich_tuned,100,0.3306748605721658,0.32032181987715636,0.03180942072049612,0.010732601499899021,0.011439938334468526,0.053061847397684644,1000,M5_h14_chronos_bolt_tiny_vs_lightgbm_rich_tuned
