dataset,horizon,model_name,baseline_model,n_series,model_WAPE_aggregate,baseline_WAPE_aggregate,log_ratio,bootstrap_se,ci95_low,ci95_high,n_boot
Favorita,28,timesfm25,lightgbm_tuned_cov,100,0.2934366848598651,0.30125845359304393,-0.026306654632419435,0.015475982478519725,-0.056738674060828845,0.00237350615780444,1000
Favorita,28,tirex,lightgbm_tuned_cov,100,0.2790633236491111,0.30125845359304393,-0.07652982357815105,0.010714433603894116,-0.09772620774182214,-0.05630883157320518,1000
M5,7,chronos2,lightgbm_tuned_cov,100,0.29365694569342815,0.3124376941362412,-0.061992835879166874,0.007118708551341625,-0.07660612512003057,-0.04875925713845562,1000
M5,7,chronos_bolt_tiny,lightgbm_tuned_cov,100,0.3143069542902448,0.3124376941362412,0.0059649993063020336,0.008782473603100494,-0.011894207727593595,0.02285858448066354,1000
M5,7,moirai2,lightgbm_tuned_cov,100,0.2979939021907553,0.3124376941362412,-0.047332046684924044,0.008363333629974988,-0.06469021632525401,-0.03220995615571086,1000
M5,7,timesfm25,lightgbm_tuned_cov,100,0.2988472750132987,0.3124376941362412,-0.044472413547414394,0.008179703277023106,-0.06109280290303672,-0.029402670228748148,1000
M5,7,tirex,lightgbm_tuned_cov,100,0.2981849257964853,0.3124376941362412,-0.04669122012987161,0.007329747889883016,-0.06116885574068599,-0.03304763426537554,1000
M5,14,chronos2,lightgbm_tuned_cov,100,0.30704296660218844,0.3318755332933421,-0.07777230475203112,0.00833579119978578,-0.09482824232208903,-0.062120360859346496,1000
M5,14,chronos_bolt_tiny,lightgbm_tuned_cov,100,0.3306748605721658,0.3318755332933421,-0.003624400639279237,0.011180098602991587,-0.0254124195511075,0.019059836314409148,1000
M5,14,moirai2,lightgbm_tuned_cov,100,0.30998522022307723,0.3318755332933421,-0.0682353792622997,0.01058934312653784,-0.0896300129378514,-0.04755982686584973,1000
M5,14,timesfm25,lightgbm_tuned_cov,100,0.31080386184404174,0.3318755332933421,-0.06559795499324446,0.00963503846116349,-0.08558642440484418,-0.048043777635908134,1000
M5,14,tirex,lightgbm_tuned_cov,100,0.31200877947071437,0.3318755332933421,-0.06172867216237925,0.009119101084795172,-0.08008930956030301,-0.04490791349467856,1000
M5,28,chronos2,lightgbm_tuned_cov,100,0.3391421657214263,0.3684865939341415,-0.08298494349019282,0.009259151502817857,-0.10150995404055796,-0.065201238373795,1000
M5,28,chronos_bolt_tiny,lightgbm_tuned_cov,100,0.35979756543877894,0.3684865939341415,-0.02386277580595563,0.008823271674036572,-0.040471450384413465,-0.00552516967466455,1000
M5,28,moirai2,lightgbm_tuned_cov,100,0.32919347254727627,0.3684865939341415,-0.11275869049217821,0.01282608176772142,-0.13744588132328212,-0.08785841294007837,1000
M5,28,timesfm25,lightgbm_tuned_cov,100,0.33166326864838935,0.3684865939341415,-0.1052841277135485,0.009847644934732903,-0.12547218780792027,-0.08682775824098199,1000
M5,28,tirex,lightgbm_tuned_cov,100,0.347809130073229,0.3684865939341415,-0.05775047836532412,0.008816375351121283,-0.0739446737855903,-0.041014880323150926,1000
Rohlik,7,chronos2,lightgbm_tuned_cov,100,0.1799037172514125,0.19783116534565293,-0.0949921630452535,0.009848885738662444,-0.11497162331113207,-0.07666616798846848,1000
Rohlik,7,chronos_bolt_tiny,lightgbm_tuned_cov,100,0.19911850126156225,0.19783116534565293,0.006486164556478237,0.009939910288541421,-0.01418116784874649,0.025007977932153206,1000
Rohlik,7,moirai2,lightgbm_tuned_cov,100,0.18818163397893822,0.19783116534565293,-0.050006332059696935,0.012526108195570509,-0.07218568903202771,-0.02552861056670475,1000
Rohlik,7,timesfm25,lightgbm_tuned_cov,100,0.18369231432275512,0.19783116534565293,-0.07415181351802239,0.011820729367630498,-0.09849176333523858,-0.05107790203812078,1000
Rohlik,7,tirex,lightgbm_tuned_cov,100,0.1842260431190023,0.19783116534565293,-0.0712504678262203,0.011851129611465899,-0.0947241914789868,-0.04848049959686646,1000
Rohlik,14,chronos2,lightgbm_tuned_cov,100,0.18483239829055736,0.20607693894709375,-0.10880012982725118,0.017143697225536308,-0.14098677826258843,-0.07466971679117161,1000
Rohlik,14,chronos_bolt_tiny,lightgbm_tuned_cov,100,0.20459438177112585,0.20607693894709375,-0.007220195527635515,0.01565908988924929,-0.0384033456007454,0.02299637973211291,1000
Rohlik,14,moirai2,lightgbm_tuned_cov,100,0.1942066020012464,0.20607693894709375,-0.05932703792764447,0.019456582271157676,-0.09949022848184867,-0.021965120396716616,1000
Rohlik,14,timesfm25,lightgbm_tuned_cov,100,0.1899798907306786,0.20607693894709375,-0.08133136079433957,0.01920102226871391,-0.11841781308040455,-0.04410469573232496,1000
Rohlik,14,tirex,lightgbm_tuned_cov,100,0.18945578219002482,0.20607693894709375,-0.08409393116598385,0.0210269719430878,-0.12565791604738755,-0.046594205419549756,1000
Rohlik,28,chronos2,lightgbm_tuned_cov,100,0.19295358911658955,0.20880223063343942,-0.07893784997313842,0.013001377533546377,-0.10511993198115421,-0.053561516903983315,1000
Rohlik,28,chronos_bolt_tiny,lightgbm_tuned_cov,100,0.21052294793210616,0.20880223063343942,0.008207124423371306,0.012331463652755061,-0.014574175286106588,0.03412944667118016,1000
Rohlik,28,moirai2,lightgbm_tuned_cov,100,0.2017757876542183,0.20880223063343942,-0.034230420232537605,0.014641938777746572,-0.06290057896005079,-0.006611320124042113,1000
Rohlik,28,timesfm25,lightgbm_tuned_cov,100,0.1967367161710244,0.20880223063343942,-0.05952117032807712,0.01444343334323629,-0.08865630610928703,-0.03270963402599686,1000
Rohlik,28,tirex,lightgbm_tuned_cov,100,0.19638615290643163,0.20880223063343942,-0.06130465017669584,0.015021772243134501,-0.09096830254442523,-0.03246023758307489,1000
