run_id,panel_id,dataset,horizon,model_name,hardware,runtime_sec,wall_clock_sec,cost_usd,co2_kg,series_per_second,n_eval_origins,train_fraction,train_window_days,series_selection,model_params_json,source_run_dir
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,lightgbm_cov,M_SERIES_MAC,3.4447710514068604,3.4447720050811768,5.741285085678101e-06,1.8659176528453827e-05,29.02950544685968,54,0.8,365,top_volume,"{""n_estimators"": 300, ""protocol"": ""recursive""}",source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,lightgbm_direct,M_SERIES_MAC,16.622626066207886,16.622627019882202,2.7704376777013144e-05,9.003922452529271e-05,6.015896621971775,54,0.8,365,top_volume,"{""n_estimators_per_head"": 300, ""protocol"": ""direct""}",source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,lightgbm_direct_scaled,M_SERIES_MAC,27.263724088668823,27.26372718811035,4.543954014778137e-05,0.0001476785054802,3.6678774944601704,54,0.8,365,top_volume,"{""n_estimators_per_head"": 300, ""protocol"": ""direct_scaled""}",source_b_repair_baselines_m5_rohlik_100_v2
source_b_v1_13_tuned_lightgbm_cov_100,m5_top_volume_100_20260714,M5,7,lightgbm_tuned_cov,M_SERIES_MAC,57.54301881790161,57.54302191734314,9.590503136316936e-05,0.0003116913519303,1.7378302712350926,54,0.8,365,top_volume,"{""protocol"": ""recursive_tuned"", ""selected_params"": {""colsample_bytree"": 0.85, ""learning_rate"": 0.06, ""min_child_samples"": 10, ""n_estimators"": 600, ""num_leaves"": 63, ""objective"": ""tweedie"", ""random_state"": 20260726, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1, ""subsample"": 0.7, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.4, ""verbosity"": -1}, ""tuning_trials"": 10}",source_b_v1_13_tuned_lightgbm_cov_100
source_b_v1_13_tuned_lightgbm_direct_100,m5_top_volume_100_20260714,M5,7,lightgbm_tuned_direct,M_SERIES_MAC,339.88201689720154,339.8820209503174,0.000566470028162,0.0018410275915265,0.2942197439950032,54,0.8,365,top_volume,"{""protocol"": ""direct_tuned"", ""selected_params"": {""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""min_child_samples"": 10, ""n_estimators"": 150, ""num_leaves"": 127, ""objective"": ""tweedie"", ""random_state"": 20261727, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 0.7, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.1, ""verbosity"": -1}, ""tuning_trials"": 10}",source_b_v1_13_tuned_lightgbm_direct_100
source_b_repair_fm_moirai2_m5_rohlik_100,m5_top_volume_100_20260714,M5,7,moirai2,M_SERIES_MAC,26.4634952545166,26.4634952545166,4.410582542419433e-05,0.0001433439326286,3.778790331293547,54,0.8,365,top_volume,"{""protocol"": ""zero_shot_univariate""}",source_b_repair_fm_moirai2_m5_rohlik_100
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,M_SERIES_MAC,0.0001897811889648,0.0001897811889648,3.1630198160807294e-10,1.027981440226237e-09,526922.6130653266,54,0.8,365,top_volume,{},source_b_repair_baselines_m5_rohlik_100_v2
source_b_v1_11_timesfm25_m5_rohlik_100_batched,m5_top_volume_100_20260714,M5,7,timesfm25,M_SERIES_MAC,754.2450621128082,754.2450659275055,0.0012570751035213,0.0040854940864443,0.1325829031215368,54,0.8,365,top_volume,"{""protocol"": ""zero_shot_univariate_batched""}",source_b_v1_11_timesfm25_m5_rohlik_100_batched
source_b_v1_7_tirex_batched_m5_rohlik_100,m5_top_volume_100_20260714,M5,7,tirex,M_SERIES_MAC,480.4491968154907,480.4492018222809,0.0008007486613591,0.0026024331494172,0.2081385517195556,54,0.8,365,top_volume,"{""device"": ""cpu"", ""protocol"": ""zero_shot_univariate_batched""}",source_b_v1_7_tirex_batched_m5_rohlik_100
source_b_repair_fm_chronos2_m5_rohlik_100,m5_top_volume_100_20260714,M5,14,chronos2,M_SERIES_MAC,117.21260499954224,117.21260690689088,0.0001953543416659,0.0006349016104141,0.8531505634602229,27,0.8,365,top_volume,"{""protocol"": ""zero_shot_univariate""}",source_b_repair_fm_chronos2_m5_rohlik_100
