dataset_norm,horizon_bucket,metric_name,fm,ml_tree,n_fm,n_mltree,n_series_hm,delta,log_ratio,vi
Rohlik,medium,MASE,1.61006,1.6466833333333333,20,6,20.155960225601547,-0.03662333333333323,-0.02249171855527305,0.010749508544448437
Rohlik,medium,SQL,1.32142,1.6466833333333333,20,6,20.155960225601547,-0.32526333333333324,-0.22005624797649292,0.010749508544448437
Rohlik,medium,WAPE,0.244172,0.30086999999999997,25,10,27.093555840520715,-0.05669799999999997,-0.20880538278025584,0.005167280397747501
Rohlik,short,WAPE,0.32582,0.3735,5,4,4811.6678492507035,-0.04768,-0.1365729229348487,9.352266492585854e-5
Rossmann,long,MASE,0.5553571428571429,0.33475,7,2,1115,0.2206071428571429,0.5062274228608945,0.00057655349135169755
Rossmann,long,SQL,0.45365714285714287,0.33475,7,2,1115,0.11890714285714288,0.30395773622436323,0.00057655349135169755
Rossmann,long,WAPE,0.18894285714285713,0.11049999999999999,7,2,1115,0.07844285714285715,0.5364291052274412,0.00057655349135169755
Rossmann,medium,MASE,0.5532857142857143,0.67985,7,2,1115,-0.12656428571428568,-0.20599765514225613,0.00057655349135169755
Rossmann,medium,SQL,0.43098571428571425,0.67985,7,2,1115,-0.2488642857142857,-0.4557972415560554,0.00057655349135169755
Rossmann,medium,WAPE,0.1501142857142857,0.18925,7,2,1115,-0.0391357142857143,-0.23167198356148683,0.00057655349135169755
Walmart,long,MASE,0.9350142857142857,1.2817500000000002,7,2,2936,-0.3467357142857145,-0.31541980265303515,2.1895679252627477e-4
Walmart,long,SQL,0.7461142857142857,1.2817500000000002,7,2,2936,-0.5356357142857144,-0.5411028241852399,2.1895679252627477e-4
Walmart,long,WAPE,0.11171428571428571,0.16310000000000002,7,2,2936,-0.05138571428571431,-0.37841891813697065,2.1895679252627477e-4
