pair_id,paper_id,dataset_norm,horizon_bucket,metric_name,model_name,model_scale,has_covariates,zero_shot,metric_num,baseline_metric,baseline_family,delta,delta_rel,vi,source,n_series_num,baseline_n_series
B02_fev_favorita_stores_1W__TiRex__MASE,B02_fev_favorita_stores_1W,Favorita,medium,MASE,TiRex,7.544068044350276,TRUE,TRUE,2.4235,2.45255,ML_TREE,-0.029049999999999798,-0.01184481458074241,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TiRex__WAPE,B02_fev_favorita_stores_1W,Favorita,medium,WAPE,TiRex,7.544068044350276,TRUE,TRUE,0.1346,0.13405,ML_TREE,5.499999999999949e-4,0.00410294666169336,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TimesFM-2.5__SQL,B02_fev_favorita_stores_1W,Favorita,medium,SQL,TimesFM-2.5,8.301029995663981,TRUE,TRUE,1.9684,2.45255,ML_TREE,-0.4841500000000001,-0.19740678069764125,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TimesFM-2.5__MASE,B02_fev_favorita_stores_1W,Favorita,medium,MASE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,2.2901,2.45255,ML_TREE,-0.1624500000000002,-0.06623718170883375,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TimesFM-2.5__WAPE,B02_fev_favorita_stores_1W,Favorita,medium,WAPE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,0.1308,0.13405,ML_TREE,-0.003250000000000003,-0.024244684819097372,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Toto-1.0__SQL,B02_fev_favorita_stores_1W,Favorita,medium,SQL,Toto-1.0,8,TRUE,TRUE,2.1277,2.45255,ML_TREE,-0.3248500000000001,-0.13245397647346643,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Toto-1.0__MASE,B02_fev_favorita_stores_1W,Favorita,medium,MASE,Toto-1.0,8,TRUE,TRUE,2.508,2.45255,ML_TREE,0.05545,0.022609121118835496,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Toto-1.0__WAPE,B02_fev_favorita_stores_1W,Favorita,medium,WAPE,Toto-1.0,8,TRUE,TRUE,0.1511,0.13405,ML_TREE,0.01705000000000001,0.12719134651249542,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_transactions_1D__Chronos-2__SQL,B02_fev_favorita_transactions_1D,Favorita,long,SQL,Chronos-2,8.079181246047625,TRUE,TRUE,0.6846,1.3841999999999999,ML_TREE,-0.6995999999999999,-0.5054182921543129,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Chronos-2__MASE,B02_fev_favorita_transactions_1D,Favorita,long,MASE,Chronos-2,8.079181246047625,TRUE,TRUE,0.8494,1.3841999999999999,ML_TREE,-0.5347999999999998,-0.3863603525502094,0.0392156862745098,LIT,51,51
