pair_id,paper_id,study_id,suite_id,task_id,cluster_id,dataset_norm,horizon_bucket,metric_name,model_name,model_scale,has_covariates,zero_shot,metric_num,baseline_metric,baseline_family,log_ratio,delta,delta_rel,vi,source,is_source_b,paired_inference_ok,quality_flag,n_series_num,baseline_n_series
b02_fev_favorita_stores_1m__Chronos-2__WAPE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,WAPE,Chronos-2,8.079181246047625,TRUE,TRUE,0.1303,0.2205,ML_TREE,-0.5260582107561012,-0.0902,-0.4090702947845805,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Chronos-Bolt-Base__SQL,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,SQL,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,2.0865,2.386,ML_TREE,-0.1341303026262542,-0.2995000000000001,-0.12552388935456835,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Chronos-Bolt-Base__MASE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,MASE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,2.4178,2.386,ML_TREE,0.013239712110030234,0.03180000000000005,0.013327745180217959,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Chronos-Bolt-Base__WAPE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,WAPE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,0.2637,0.2205,ML_TREE,0.17891439847234025,0.04319999999999999,0.1959183673469387,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Moirai-2.0-Small__SQL,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,SQL,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,2.091,2.386,ML_TREE,-0.1319759032292278,-0.29499999999999993,-0.12363788767812234,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Moirai-2.0-Small__MASE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,MASE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,2.324,2.386,ML_TREE,-0.026328484686059736,-0.06200000000000028,-0.025984911986588546,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Moirai-2.0-Small__WAPE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,WAPE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,0.2355,0.2205,ML_TREE,0.06581321856957162,0.014999999999999986,0.06802721088435368,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__TabPFN-TS__SQL,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,SQL,TabPFN-TS,7.079181246047625,TRUE,TRUE,1.9336,2.386,ML_TREE,-0.21023477326858822,-0.45240000000000014,-0.18960603520536468,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__TabPFN-TS__MASE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,MASE,TabPFN-TS,7.079181246047625,TRUE,TRUE,2.1758,2.386,ML_TREE,-0.09222191067087913,-0.21019999999999994,-0.08809723386420786,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__TabPFN-TS__WAPE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,WAPE,TabPFN-TS,7.079181246047625,TRUE,TRUE,0.1159,0.2205,ML_TREE,-0.6431699445411946,-0.1046,-0.47437641723356005,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
